NAME	Memory CD4 T	B	CD14+ Mono	NK	CD8 T	Naive CD4 T	FCGR3A+ Mono	DC	Platelet
BNIP3L	44.2166006366523	60.8098674691992	105.403205903145	1	1	53.8015737464155	45.9126614467268	38.2599030548314	101.200467794292
BPGM	1	1	1	93.116172893133	1	1	1	1	1
BRD7	1	1	1	32.5190937638624	1	1	1	1	1
BRE	1	1	1	52.7767118200673	61.3622736783807	1	1	47.7229765005412	1
BRI3	1	1	382.641986990612	1	1	1	534.781108691236	195.840193941033	169.471224062934
BRIX1	1	1	1	42.685199364535	1	1	1	16.6587947650426	1
BST1	1	1	124.487162096188	1	1	1	44.83920116247	42.7610157564489	1
BTBD7	1	1	1	1	1	1	1	1	46.5677773113335
BTF3L4	36.6536434854165	59.8950802509768	1	39.0361191888873	1	32.9643147996077	19.5939241465815	36.2895554947249	1
BTK	1	102.826285017853	29.2194325523851	1	1	1	77.5497932228957	57.4306547757492	125.238985314611
BTLA	1	62.5609296129366	1	1	1	1	1	1	1
BTN3A1	1	1	1	24.6928195043274	1	1	1	1	1
BTN3A2	51.2164931953038	126.350276231722	1	99.7649451001431	75.6929307611832	52.1821084607894	23.8815861025629	1	27.7192491215814
BZW2	1	1	1	1	1	1	1	67.4862421110874	1
C10orf128	1	1	1	1	1	1	1	28.2644064276549	1
C10orf32	115.619799436998	63.4017616112607	1	73.0039112198922	173.655914083807	1	63.6857094179187	1	1
C11orf21	1	1	30.4926279507747	45.810830702188	1	1	64.5514329206207	1	1
C12orf10	65.2529362906526	1	46.6736110367004	1	1	1	1	40.1617726768017	1
C12orf44	1	1	35.3238268584345	1	1	1	31.1207940751234	25.43183518208	1
C12orf45	1	1	1	1	1	1	1	123.391070019888	1
C12orf5	1	1	1	1	1	1	1	81.4238300718139	1
C12orf57	238.879543473046	131.718009795855	46.8968225575232	130.805091441226	284.041232165186	369.896036077313	66.740578274617	50.6937859611453	79.2789354025586
C12orf75	91.1217381327213	52.3952584555857	1	329.72102505184	223.073824168394	1	1	107.709034197238	89.043284741977
C14orf1	101.431094143755	1	1	188.154697009999	182.872733248826	150.651685558279	1	150.605855864257	1
C14orf119	53.3873559332162	1	59.1131335483674	102.204508934442	66.6077149727656	57.0627987736384	1	57.9228084138975	1
C14orf64	1	1	1	1	1	32.6545894865495	1	1	1
C15orf39	1	1	1	1	1	1	18.2299504602975	1	1
C15orf48	1	1	1	1	1	1	1	109.34163518501	1
C15orf57	1	95.9835854835163	1	1	1	1	1	19.6476061776727	1
C15orf61	1	1	1	87.0672422955055	60.3933284923885	1	1	56.1661066442553	1
C16orf54	1	1	1	61.6887341355865	1	1	1	1	1
C16orf74	1	164.98873601864	1	1	1	1	1	1	1
C16orf80	42.8776968370551	1	1	1	1	1	1	1	1
C17orf59	1	1	1	88.8782324401902	1	1	1	1	677.804703992413
C19orf33	1	1	1	1	1	1	1	1	662.522023147679
C19orf38	1	1	336.497615704921	1	1	1	433.466429214454	183.158061815571	1
C19orf59	1	1	80.7483726303407	1	1	1	1	1	1
C1D	1	1	1	1	1	1	21.7160142168181	1	1
C1QA	1	1	1	1	1	1	263.085870180874	1	1
C1QB	1	1	1	1	1	1	124.940208306031	1	1
C1orf122	1	1	1	106.520637646335	1	1	32.6430427958181	1	1
C1orf131	1	1	1	39.6163364214425	1	1	1	1	1
C1orf174	1	1	1	65.2252688949111	1	1	1	1	1
C1orf21	1	1	1	70.5382970488657	29.5069980627807	1	1	1	1
C1orf35	1	1	1	1	1	1	1	33.8580473885769	1
C1orf52	1	1	1	1	1	1	27.8594357924518	1	14.1553497056344
C20orf27	1	1	268.285772935161	1	1	1	202.469022018148	145.159128185682	1
C21orf2	1	1	1	1	1	1	1	27.9849600264458	1
C21orf33	43.6259874457334	54.1571157688769	1	59.5701332124399	1	42.5846513145402	25.0452256888895	25.0912353317853	1
C21orf59	27.6645365673055	1	1	1	41.376856926505	1	1	37.9923272543433	1
C2orf88	1	1	1	1	1	1	1	1	250.858081229928
C3AR1	1	1	1	1	1	1	51.2144931959187	1	1
C4orf27	1	1	1	1	1	1	1	90.2884455407962	1
C4orf48	305.507407191608	1	909.245879022569	1	322.052368211528	224.943807833806	832.802568255036	431.444711418973	409.105570446671
C5AR1	1	1	166.197818896414	1	1	1	312.411497921113	1	94.6077716175518
C5orf15	1	1	1	1	1	1	32.0002389534119	35.292656250992	1
C5orf56	65.0383110366116	68.1222640998194	1	266.94639424577	79.4304987315659	1	48.7189731535763	20.1133223326977	1
C6orf1	1	1	1	42.7869686113387	56.1747167928884	1	31.1884929260232	47.0472552133838	1
C6orf211	1	1	1	1	1	1	1	27.8968500717548	1
C6orf226	238.57015188239	1	1	1	1	305.824654544201	210.068619656696	213.59196462058	113.729387539279
C6orf25	1	1	1	1	1	1	1	1	36.6760470194652
C6orf62	1	1	1	47.0013640503478	1	1	1	23.0299142172705	13.5153740720994
C7orf55	1	70.8814253216484	1	82.183031927894	1	1	1	1	1
C7orf55.LUC7L2	1	1	1	23.8732173375252	28.8692719775146	1	1	18.3113783049327	34.0987770831343
C8orf76	1	1	1	1	1	1	36.685473215827	1	1
C9orf16	345.809497652967	269.862290491887	248.179828801113	409.824864304984	403.316594992754	245.231414508519	338.551532182742	314.060949480738	1796.91663220084
C9orf37	1	1	1	1	1	1	1	42.3038078672499	1
C9orf89	1	1	47.553757603151	1	1	1	24.1780889985734	62.9444668397022	161.252460681792
CA2	1	1	1	1	1	1	1	1	4413.23353701067
CACNA2D3	1	1	1	1	1	1	1	49.827229379874	1
CACUL1	1	1	1	1	1	1	1	38.2140403134647	1
CALCOCO2	1	1	21.9725910159712	1	1	1	51.341737570984	19.2932247110852	1
CALHM2	1	1	25.2364953276412	1	1	1	29.7220797040258	15.7744748117589	1
CALM3	111.099227015977	46.9579910159651	99.0297192578238	133.999997418626	104.185080443995	103.73251561209	120.155364167613	34.0174642499678	967.233350030988
CAMK1	1	1	53.3509017113529	1	1	1	123.842547733405	33.2806531373238	1
CAMK1D	1	40.8867488220372	1	1	1	1	1	1	1
CAMK2G	1	1	1	1	1	1	1	26.5760752279293	1
CAMK4	1	1	1	1	1	18.9677731711233	1	1	1
CAMTA1	1	1	1	1	1	1	1	13.0363491050647	80.3888764620009
CAPG	83.5826777747868	159.475594785579	236.862656070829	1	1	1	106.318541264618	396.291629581445	1
CAPN1	18.3227285704532	1	1	25.393246181094	1	1	14.9271752330161	1	207.386861059628
CAPN12	1	1	1	35.162735937696	1	1	1	1	1
CAPNS1	1	1	65.9604422170031	46.5975517227033	1	1	73.2920900426719	247.674902747239	60.1997012496968
CARS2	1	1	19.8993301650933	1	1	1	1	1	1
CASP8	27.2941039995881	1	1	49.7873660537546	28.431164502106	1	1	1	1
CATSPER1	1	1	69.5105496161561	91.9208961350838	1	1	1	1	21.536986805065
CBR1	1	1	75.0532416074316	114.822246678282	1	1	80.3936562936238	69.6157053851535	1
CBWD2	1	1	1	1	1	1	16.1657391272373	1	1
CBX1	1	1	1	1	1	1	1	35.3420516115231	1
CCAR1	1	1	1	1	1	1	1	26.3288185146477	70.4825748170084
CCDC101	49.0571188959735	1	1	1	79.533384941192	1	38.4488943622632	37.4216358678938	1
CCDC104	70.7915348596635	1	1	1	1	42.6250831584346	1	1	1
CCDC167	743.536093665781	1	1	263.464813507591	771.28115257542	289.190231583141	1	85.4093997567661	1
CCDC174	1	1	1	126.536552550895	1	1	1	1	1
CCDC22	1	1	1	1	1	1	1	40.0539740923103	1
CCDC28B	1	1	1	142.807575194571	1	1	1	1	1
CCDC47	1	1	1	1	1	1	1	38.1875131739929	1
CCDC50	1	44.3261166919368	1	1	1	1	1	68.1517765516617	1
CCDC69	1	1	46.8100116762133	44.3633997516282	1	1	18.725743830372	35.7780843769766	1
CCDC71	1	1	1	1	1	1	1	65.5808589059013	1
CCDC86	1	1	1	1	1	1	1	51.2758115052515	1
CCDC88C	1	1	1	22.040145053612	1	1	1	1	1
CCDC90B	1	1	1	1	1	1	18.4872179519959	1	1
CCDC91	32.6612465667979	51.270733246236	1	1	1	1	1	1	1
CCDC94	1	1	1	1	1	1	1	56.4619781383023	1
CCL3	1	1	741.493830114122	1342.56643418903	238.084191042951	1	78.6077009205911	314.440959994146	1
CCL4	1	1	1	3149.07836901011	743.624812178174	1	1	1	1
CCL5	707.992058495784	109.638087201715	68.5884561385561	3494.28862043456	5639.0437688046	499.032270389575	49.4916485099173	67.6114319172659	5639.04544255675
CCM2	20.1621837950931	1	1	26.2231572255843	1	19.3014527019178	19.531905772427	1	1
CCNC	23.0468211786757	1	1	1	1	1	1	23.240633672921	1
CCND2	1	1	1	38.0890966892971	1	1	1	1	1
CCNG1	54.9207235490728	120.352906814239	1	35.1791672128174	48.8378348607144	51.5971374886693	18.683862832851	25.9218600270552	138.72708911539
CCNH	43.3087640302149	1	1	47.5406940798008	86.1501863139204	42.3659085761495	28.1588584309873	38.0357646417942	1
CCR1	1	1	1	1	1	1	1	32.5856334607397	1
CCR7	115.432877151937	107.672932161346	1	1	1	296.915029104311	1	1	1
CCS	1	40.653264320132	30.7645333759162	84.8715788282522	1	1	1	33.7522857002325	1
CCSER2	1	1	1	1	31.510785462079	1	1	1	1
CCZ1	45.2835300796156	1	1	78.6499265685366	44.2903812024699	39.5516967979648	1	28.035920130314	1
CD14	1	1	621.845662984751	1	1	1	58.5101795066952	58.1401754593759	1
CD151	1	1	1	1	1	1	1	1	207.068938515469
CD160	1	1	1	211.624176388497	63.8822158400089	1	1	1	1
CD180	1	137.530606199768	1	1	1	1	1	1	1
CD19	1	142.086604623962	1	1	1	1	1	1	1
CD1C	1	177.636379814659	1	1	1	1	1	837.310593254845	1
CD1D	1	1	141.890825135165	1	1	1	57.2422278706233	241.588421555588	1
CD2	1351.17528015388	1	1	398.644845640643	1075.94202709653	672.973210379184	41.3636707031834	150.479206915352	1
CD200	1	45.7495643626344	1	1	1	1	1	1	1
CD22	1	41.8443031306256	1	1	1	1	1	1	1
CD244	1	1	1	134.477702115303	1	1	1	1	1
CD247	132.886532322369	1	1	943.199899882406	244.128696962184	132.037086375617	1	1	1
CD27	804.492703080192	218.905286526792	1	1	655.116097505834	725.556578881166	1	1	1
CD28	26.291057730949	1	1	1	1	1	1	1	1
CD300A	1	1	76.6597798644084	311.483793265843	113.042498514569	1	126.040220122872	52.5466258665643	1
CD300C	1	1	132.574932649871	1	1	1	220.88329357467	223.616552095093	1
CD300E	1	1	71.3348516393836	1	1	1	91.9572346766735	1	1
CD300LB	1	1	1	1	1	1	1	50.8248836607491	1
CD300LF	1	1	48.8730185246117	1	1	1	78.4170209221586	25.2322832398983	1
CD302	1	1	72.2992633672245	1	1	1	82.8165869321728	135.927086255862	1
CD320	1	1	1	113.50874076004	108.33052302516	1	1	1	1
CD33	1	1	57.5044072284352	1	1	1	27.6275960514454	104.227974948493	1
CD36	1	1	27.3726759019171	1	1	1	1	1	1
CD37	301.37270790138	1517.96406170769	340.40258113103	235.841534389901	319.658933066478	299.023011581003	328.400331647788	323.946581847989	112.145309351125
CD38	1	1	1	62.9196478350209	1	1	1	1	1
CD3D	3392.72289649102	1	105.819059169211	282.615353590027	4090.58351924846	3372.4792094434	55.5987351240217	90.2623225731456	1
CD3E	535.985939586961	45.0082425306656	1	215.319786557953	525.022541872151	496.856435745382	29.7905117183412	42.5035176728967	47.2766778887342
CD3G	161.396015950428	1	1	1	198.325721915968	151.826925992516	1	1	1
CD4	37.9849853701691	1	61.258738980309	1	1	1	34.2857886605106	75.9731353880393	1
CD40	1	310.632047645437	1	1	1	1	1	60.3586778623967	1
CD40LG	298.241407322592	1	1	1	1	203.322059782632	1	1	1
CD46	22.2734667203281	1	1	1	1	1	1	1	34.6665532849165
CD5	85.6564913424589	1	1	1	1	85.1438327520009	1	39.2206602501598	1
CD58	66.8825063372283	1	1	90.0089663440232	1	1	41.477927521654	1	1
CD6	32.0928902559772	1	1	1	30.8928767829922	42.1328608678341	1	1	1
CD68	1	1	600.973009371683	1	1	1	822.185920069677	224.749338704666	354.94299335869
CD69	564.989535859408	668.206636879588	1	294.565846073602	445.611053706939	477.916407401338	36.1128046098478	69.0954716400523	164.936015908972
CD7	242.42605815632	1	1	824.657952561735	267.624650055677	303.661571919765	1	1	1
CD72	1	139.126747210762	1	1	1	1	1	26.2283211882236	1
CD74	552.987106158208	11570.8678639675	2183.36084041521	753.590924152547	894.630842767155	465.384256866629	2167.85041112465	12440.6898843555	634.040662667012
CD79A	1	2213.3600472691	1	1	1	1	1	97.330959832786	1
CD79B	76.2573865845672	2456.03703805002	1	238.65000268441	82.1219878010325	1	320.208890972406	86.6000825739678	1
CD81	1	25.4898334199328	1	1	29.2414311882476	1	1	1	1
CD82	40.4554678794	63.0956717114349	1	1	1	1	1	1	1453.45323312692
CD83	1	130.374679197698	98.3602373884274	1	1	1	134.672717798472	161.6632130208	1
CD86	1	1	33.2922534982892	1	1	1	59.9859262209655	35.2378982168297	1
CD8A	1	1	1	1	283.74278165497	69.0840064119395	1	1	1
CD8B	137.251980425623	1	1	1	628.144760604992	426.001137816368	1	1	1
CD9	1	1	1	1	1	1	1	1	3855.47254027001
CD96	48.1478939769972	1	1	44.4364156037195	35.6056138679341	32.1353653176897	1	1	1
CDA	1	1	849.859046646972	1	1	1	673.811398142897	1	1
CDC25B	41.7037179472688	1	1	1	58.4563434882104	48.2034868570327	1	1	69.0008196175145
CDC40	1	44.6362815649926	1	1	1	1	18.0163227375117	24.2846948377933	1
CDC42EP3	24.270483160665	1	24.5391370424919	44.1466079162481	43.604724880355	1	25.9838018860156	1	1
CDC5L	1	1	1	50.3441031103332	1	1	1	25.8885559554905	1
CDCA7L	1	55.613592492459	1	1	1	1	1	1	1
CDIP1	1	1	1	1	1	1	19.3681662221943	1	118.34416298783
CDK5	1	1	1	1	1	1	41.5991531185633	1	1
CDK5RAP3	1	21.4148661531207	1	1	1	1	1	13.7659239606485	1
CDKN1A	1	1	47.2253392074278	1	1	1	37.995768138901	60.4688343247928	95.648849313363
CDKN1B	93.0990280650011	69.154253484497	1	1	74.8847377179354	70.0532025559083	38.945679685547	61.2029343615345	1
CDKN1C	1	1	1	1	1	1	113.837524701271	1	1
CDKN2AIPNL	1	117.438131157696	1	1	1	1	61.8391289730659	1	1
CDKN2D	215.594417080287	232.466591223475	164.087000120369	387.322843349145	338.110885290497	152.861902246437	286.423583652488	114.373516411616	3184.61815938715
CDV3	1	1	25.59660354251	37.4081521491507	1	1	24.1740515349988	15.644031872819	1
CDYL	1	1	1	1	1	1	1	1	80.1615050716163
CEBPA	1	1	49.724974200234	1	1	1	57.1952528319625	36.8214366550979	120.437966270376
CEBPD	1	1	1028.63454478842	515.596190648443	294.889355907518	1	415.79231031814	658.145766948773	1
CEBPG	1	1	44.8705041129182	1	1	1	49.0263002188997	1	1
CEBPZ.AS1	32.5339317358088	1	1	1	1	1	1	1	1
CECR1	1	1	42.4590465586983	1	1	1	35.2846947178597	19.4990771279401	1
CELF1	1	1	1	80.3730918284338	1	1	1	1	1
CEPT1	1	28.2746620751942	1	1	1	1	1	1	1
CERK	1	1	1	1	1	1	27.6390602616743	1	1
CERS2	1	1	1	1	34.7426012129337	1	1	1	60.0794999967561
CETN2	1	1	1	59.7469188317135	1	1	1	27.2842708241353	1
CFD	1	1	2227.01682160364	1	1	1	3049.95365023577	106.2496251569	1
CFDP1	52.1542518638927	1	1	65.8377674338488	1	40.019730921609	31.8030916507563	78.4596336746238	1
CFP	1	1	304.659484404657	1	1	1	300.853855881262	320.023158087011	1
CGGBP1	30.77574591204	28.6153533217256	1	37.1025570754048	1	27.5702609327313	16.1253426620332	15.7324683799793	1
